Following data is valid as of 20231231235959 (Year/Month/Day/Hour/Minute/Second)


First Bank Card,Transaction Type,Date Posted, Transaction Amount,Description
'F4K30C4RD0NUMB3R',DEBIT,20230312,-18.90,PAPERBACK PARADISE BOOKSTORE
'F4K30C4RD0NUMB3R',DEBIT,20230315,-42.25,GADGET GALAXY ELECTRONICS
'F4K30C4RD0NUMB3R',CREDIT,20230316,2764.02,ELLIS AND CARTER PAYROLL
'F4K30C4RD0NUMB3R',DEBIT,20230318,-19.99,ORGANIC OASIS MARKET
'F4K30C4RD0NUMB3R',DEBIT,20230321,-21.50,RECURRING PYMNT NETFILMS
'F4K30C4RD0NUMB3R',DEBIT,20230322,-58.75,STYLE SYMPHONY BOUTIQUE
'F4K30C4RD0NUMB3R',DEBIT,20230323,-60.00,STANDARD OIL
'F4K30C4RD0NUMB3R',DEBIT,20230325,-63.50,GRUB HUB FAST FOOD
'F4K30C4RD0NUMB3R',CREDIT,20230330,2764.02,ELLIS AND CARTER PAYROLL
'F4K30C4RD0NUMB3R',DEBIT,20230331,-37.90,SILVER SCREEN MOVIE THEATRE
'F4K30C4RD0NUMB3R',CREDIT,20230402,2764.02,ELLIS AND CARTER PAYROLL
'F4K30C4RD0NUMB3R',DEBIT,20230403,-72.60,HANDY TOOLS HARDWARE
'F4K30C4RD0NUMB3R',CREDIT,20230405,276.5,CANADA          GST/TPS
'F4K30C4RD0NUMB3R',DEBIT,20230409,-25.75,PAPER TRAILS BOOKSTORE
'F4K30C4RD0NUMB3R',DEBIT,20230412,-31.25,CYBER GIZMO ELECTRONICS
'F4K30C4RD0NUMB3R',CREDIT,20230413,2764.02,ELLIS AND CARTER PAYROLL
'F4K30C4RD0NUMB3R',DEBIT,20230415,-14.99,FARM FRESH MART
'F4K30C4RD0NUMB3R',DEBIT,20230416,-60.00,STANDARD OIL
'F4K30C4RD0NUMB3R',CREDIT,20230418,2500.00,CHICKAPEE HEDGE FUND DIVIDENDS
'F4K30C4RD0NUMB3R',DEBIT,20230421,-49.50,CHIC COUTURE BOUTIQUE
'F4K30C4RD0NUMB3R',DEBIT,20230421,-21.50,RECURRING PYMNT NETFILMS
'F4K30C4RD0NUMB3R',DEBIT,20230424,-11.75,ZESTY BITES FAST FOOD
'F4K30C4RD0NUMB3R',CREDIT,20230427,2764.02,ELLIS AND CARTER PAYROLL
'F4K30C4RD0NUMB3R',DEBIT,20230501,-40.90,CINEMA DELUXE MOVIE THEATRE
'F4K30C4RD0NUMB3R',DEBIT,20230501,-20.00,STANDARD OIL
'F4K30C4RD0NUMB3R',DEBIT,20230504,-68.20,TOOL TECH HARDWARE
'F4K30C4RD0NUMB3R',CREDIT,20230507,50.00,CASHOLA APP TRNSFR
'F4K30C4RD0NUMB3R',DEBIT,20230510,-21.50,BOOK BAZAAR BOOKSTORE
'F4K30C4RD0NUMB3R',CREDIT,20230511,2764.02,ELLIS AND CARTER PAYROLL
'F4K30C4RD0NUMB3R',DEBIT,20230513,-48.75,TECH TREASURES ELECTRONICS
'F4K30C4RD0NUMB3R',DEBIT,20230516,-23.99,HEALTHY HARVEST MARKET
'F4K30C4RD0NUMB3R',DEBIT,20230518,-60.00,STANDARD OIL
'F4K30C4RD0NUMB3R',DEBIT,20230521,-21.50,RECURRING PYMNT NETFILMS
'F4K30C4RD0NUMB3R',DEBIT,20230522,-55.25,FASHION FABLES BOUTIQUE
'F4K30C4RD0NUMB3R',DEBIT,20230525,-14.80,QUICK CHEW FAST FOOD
'F4K30C4RD0NUMB3R',CREDIT,20230525,2764.02,ELLIS AND CARTER PAYROLL
'F4K30C4RD0NUMB3R',DEBIT,20230530,-30.00,STANDARD OIL
'F4K30C4RD0NUMB3R',DEBIT,20230531,-33.90,CINEMA ESCAPE MOVIE THEATRE
'F4K30C4RD0NUMB3R',DEBIT,20230603,-79.40,TOOL TITANS HARDWARE
'F4K30C4RD0NUMB3R',DEBIT,20230606,-150.25,SHOPAHOLIC'S HAVEN
'F4K30C4RD0NUMB3R',CREDIT,20230608,2764.02,ELLIS AND CARTER PAYROLL
'F4K30C4RD0NUMB3R',DEBIT,20230609,-29.50,NOVEL NOOK BOOKSTORE
'F4K30C4RD0NUMB3R',DEBIT,20230611,-60.00,STANDARD OIL
'F4K30C4RD0NUMB3R',DEBIT,20230612,-37.25,INNOVATION INSIGHT ELECTRONICS
'F4K30C4RD0NUMB3R',DEBIT,20230615,-18.99,ORGANIC OPTIONS MARKET
'F4K30C4RD0NUMB3R',DEBIT,20230621,-42.75,CHIC CHARM BOUTIQUE
'F4K30C4RD0NUMB3R',DEBIT,20230621,-21.50,RECURRING PYMNT NETFILMS
'F4K30C4RD0NUMB3R',CREDIT,20230622,2764.02,ELLIS AND CARTER PAYROLL
'F4K30C4RD0NUMB3R',DEBIT,20230624,-9.50,ZIP BITE FAST FOOD
'F4K30C4RD0NUMB3R',DEBIT,20230624,-60.00,STANDARD OIL
'F4K30C4RD0NUMB3R',DEBIT,20230701,-38.90,CINEPLEX SPECTRUM MOVIE THEATRE
'F4K30C4RD0NUMB3R',DEBIT,20230704,-61.20,TOOL TIME HARDWARE
'F4K30C4RD0NUMB3R',DEBIT,20230705,-60.00,STANDARD OIL
'F4K30C4RD0NUMB3R',CREDIT,20230706,2764.02,ELLIS AND CARTER PAYROLL
'F4K30C4RD0NUMB3R',DEBIT,20230710,-26.50,READER'S RETREAT BOOKSTORE
'F4K30C4RD0NUMB3R',DEBIT,20230713,-45.75,DIGI-TECH SOLUTIONS ELECTRONICS
'F4K30C4RD0NUMB3R',DEBIT,20230716,-21.99,FARM FRESH FARE MARKET
'F4K30C4RD0NUMB3R',CREDIT,20230718,2500.00,CHICKAPEE HEDGE FUND DIVIDENDS
'F4K30C4RD0NUMB3R',DEBIT,20230719,-60.00,STANDARD OIL
'F4K30C4RD0NUMB3R',CREDIT,20230720,2764.02,ELLIS AND CARTER PAYROLL
'F4K30C4RD0NUMB3R',DEBIT,20230721,-21.50,RECURRING PYMNT NETFILMS
'F4K30C4RD0NUMB3R',DEBIT,20230722,-59.25,FASHION FORWARD BOUTIQUE
'F4K30C4RD0NUMB3R',DEBIT,20230725,-15.80,SPEEDY EATS FAST FOOD
'F4K30C4RD0NUMB3R',DEBIT,20230730,-20.00,STANDARD OIL
'F4K30C4RD0NUMB3R',DEBIT,20230731,-41.90,CINEPLEX VISION MOVIE THEATRE
'F4K30C4RD0NUMB3R',CREDIT,20230803,2764.02,ELLIS AND CARTER PAYROLL
'F4K30C4RD0NUMB3R',DEBIT,20230803,-70.40,HANDY TOOLS PLUS HARDWARE
'F4K30C4RD0NUMB3R',DEBIT,20230809,-24.50,PAGE TURNER BOOKSTORE
'F4K30C4RD0NUMB3R',DEBIT,20230812,-32.25,CONNECTECH ELECTRONICS
'F4K30C4RD0NUMB3R',DEBIT,20230813,-60.00,STANDARD OIL
'F4K30C4RD0NUMB3R',DEBIT,20230815,-17.99,ECO-FRESH MARKET
'F4K30C4RD0NUMB3R',CREDIT,20230817,2764.02,ELLIS AND CARTER PAYROLL
'F4K30C4RD0NUMB3R',DEBIT,20230821,-49.75,URBAN CHIC BOUTIQUE
'F4K30C4RD0NUMB3R',DEBIT,20230821,-21.50,RECURRING PYMNT NETFILMS
'F4K30C4RD0NUMB3R',DEBIT,20230824,-13.50,SWIFT BITES FAST FOOD
'F4K30C4RD0NUMB3R',DEBIT,20230829,-60.00,STANDARD OIL
'F4K30C4RD0NUMB3R',DEBIT,20230830,-36.90,STARLIT SCREEN MOVIE THEATRE
'F4K30C4RD0NUMB3R',CREDIT,20230831,2764.02,ELLIS AND CARTER PAYROLL
'F4K30C4RD0NUMB3R',DEBIT,20230902,-68.20,TOOL TECH EXPRESS HARDWARE
'F4K30C4RD0NUMB3R',DEBIT,20230908,-28.50,BOOK BOUTIQUE
'F4K30C4RD0NUMB3R',DEBIT,20230911,-37.75,TECHNO-EDGE ELECTRONICS
'F4K30C4RD0NUMB3R',DEBIT,20230912,-30.00,STANDARD OIL
'F4K30C4RD0NUMB3R',DEBIT,20230914,-18.99,FARMERS' DELIGHT MARKET
'F4K30C4RD0NUMB3R',CREDIT,20230914,2764.02,ELLIS AND CARTER PAYROLL
'F4K30C4RD0NUMB3R',DEBIT,20230920,-55.25,FASHION FUSION BOUTIQUE
'F4K30C4RD0NUMB3R',DEBIT,20230921,-21.50,RECURRING PYMNT NETFILMS
'F4K30C4RD0NUMB3R',CREDIT,20230921,2764.02,ELLIS AND CARTER PAYROLL
'F4K30C4RD0NUMB3R',DEBIT,20230923,-14.80,QUICK BYTES FAST FOOD
'F4K30C4RD0NUMB3R',DEBIT,20230929,-41.90,CINEMAGIC VISION MOVIE THEATRE
'F4K30C4RD0NUMB3R',DEBIT,20230829,-60.00,STANDARD OIL
'F4K30C4RD0NUMB3R',DEBIT,20231002,-70.40,HANDYMAN'S HARDWARE HAVEN
'F4K30C4RD0NUMB3R',CREDIT,20231005,2764.02,ELLIS AND CARTER PAYROLL
'F4K30C4RD0NUMB3R',DEBIT,20231008,-24.50,BOOKWORM'S RETREAT BOOKSTORE
'F4K30C4RD0NUMB3R',DEBIT,20231009,-40.00,STANDARD OIL
'F4K30C4RD0NUMB3R',DEBIT,20231011,-32.25,GIZMO GALAXY ELECTRONICS
'F4K30C4RD0NUMB3R',DEBIT,20231012,-1355.95,TIRE DEPOT
'F4K30C4RD0NUMB3R',DEBIT,20231014,-17.99,HEALTHY HARVEST GROCERY
'F4K30C4RD0NUMB3R',CREDIT,20230418,2500.00,CHICKAPEE HEDGE FUND DIVIDENDS
'F4K30C4RD0NUMB3R',CREDIT,20231019,2764.02,ELLIS AND CARTER PAYROLL
'F4K30C4RD0NUMB3R',DEBIT,20231020,-49.75,FASHIONISTA'S BOUTIQUE
'F4K30C4RD0NUMB3R',DEBIT,20231021,-21.50,RECURRING PYMNT NETFILMS
'F4K30C4RD0NUMB3R',DEBIT,20231022,-60.00,STANDARD OIL
'F4K30C4RD0NUMB3R',DEBIT,20231023,-13.50,SIZZLE N' BITE FAST FOOD
'F4K30C4RD0NUMB3R',DEBIT,20231029,-36.90,CINEPLEX VISTA MOVIE THEATRE
'F4K30C4RD0NUMB3R',DEBIT,20231101,-68.20,TOOL TROVE HARDWARE
'F4K30C4RD0NUMB3R',CREDIT,20231102,2764.02,ELLIS AND CARTER PAYROLL
'F4K30C4RD0NUMB3R',DEBIT,20231107,-28.50,NOVEL NEXUS BOOKSTORE
'F4K30C4RD0NUMB3R',DEBIT,20231109,-40.00,STANDARD OIL
'F4K30C4RD0NUMB3R',DEBIT,20231110,-37.75,TECH TREND ELECTRONICS
'F4K30C4RD0NUMB3R',DEBIT,20231113,-18.99,NATURAL NOURISH MARKET
'F4K30C4RD0NUMB3R',CREDIT,20231116,2764.02,ELLIS AND CARTER PAYROLL
'F4K30C4RD0NUMB3R',DEBIT,20231119,-55.25,STYLE SANCTUARY BOUTIQUE
'F4K30C4RD0NUMB3R',DEBIT,20231120,-60.00,STANDARD OIL
'F4K30C4RD0NUMB3R',DEBIT,20231121,-21.50,RECURRING PYMNT NETFILMS
'F4K30C4RD0NUMB3R',DEBIT,20231122,-14.80,QUICK CUISINE FAST FOOD
'F4K30C4RD0NUMB3R',DEBIT,20231128,-41.90,CINEMA SPOTLIGHT MOVIE THEATRE
'F4K30C4RD0NUMB3R',CREDIT,20231130,2764.02,ELLIS AND CARTER PAYROLL
'F4K30C4RD0NUMB3R',DEBIT,20231201,-70.40,HANDY TOOLS MASTER HARDWARE
'F4K30C4RD0NUMB3R',DEBIT,20231205,-60.00,STANDARD OIL
'F4K30C4RD0NUMB3R',DEBIT,20231207,-24.50,PAGE TURNERS BOOKSTORE
'F4K30C4RD0NUMB3R',DEBIT,20231210,-32.25,ELECTRO GADGETS ELECTRONICS
'F4K30C4RD0NUMB3R',DEBIT,20231213,-17.99,ORGANIC OPTIONS GROCERY
'F4K30C4RD0NUMB3R',CREDIT,20231214,2764.02,ELLIS AND CARTER PAYROLL
'F4K30C4RD0NUMB3R',DEBIT,20231219,-49.75,CHIC CLOSET BOUTIQUE
'F4K30C4RD0NUMB3R',DEBIT,20231220,-60.00,STANDARD OIL
'F4K30C4RD0NUMB3R',DEBIT,20231221,-21.50,RECURRING PYMNT NETFILMS
'F4K30C4RD0NUMB3R',DEBIT,20231222,-13.50,FAST FUEL FAST FOOD
'F4K30C4RD0NUMB3R',CREDIT,20231228,2764.02,ELLIS AND CARTER PAYROLL
'F4K30C4RD0NUMB3R',DEBIT,20231228,-36.90,CINEPLEX SPLENDOR MOVIE THEATRE
